NU_INSCRICAO,CO_ESCOLA,NU_NOTA_CH,NU_ACERTOS_CH,NU_NOTA_CN,NU_ACERTOS_CN,NU_NOTA_LC,NU_ACERTOS_LC,NU_NOTA_MT,NU_ACERTOS_MT
150000027367,35134806,678.4,33,728.7,35,626.8,33,793.4,28
150000035010,35134806,698.4,35,644.2,25,593.9,31,795.1,28
150000046845,35134806,614.8,23,494.6,11,603.3,28,596.1,17
150000071776,35134806,632.2,26,507.2,12,590.4,29,644.9,19
150000126110,35134806,741.6,40,685.9,31,689,36,814.7,30
150000140616,35563006,750.8,40,765.3,39,725.7,39,912,36
150000155412,35134806,689.9,35,633.6,23,621.5,30,782.8,28
150000192592,35286187,698.8,34,596.6,20,645.9,34,616,16
150000243404,35134806,704.6,36,690.7,29,596.4,30,683.8,21
150000247123,35134806,702.6,35,698.5,32,607.2,31,797.2,28
150000237523,35134806,721.8,37,621.7,20,653.5,35,916.8,37
150000252869,35134806,645.3,28,793.1,40,602.2,28,592.9,15
150000257044,35286187,702.9,36,676.8,28,615.2,31,987.9,41
150000265328,35134806,686.8,35,711.9,31,609.3,29,679.9,21
150000284652,35134806,680.9,33,591.3,21,650.9,33,743,24
150000289367,35134806,670.6,29,689.1,28,590.6,28,818.5,31
150000286661,35134806,685.9,34,699.9,31,665.4,35,811,30
150000296586,35134806,695.1,34,668.9,27,634.1,32,768.3,27
150000306238,35134806,633.4,26,700.8,31,629.7,31,763.4,25
150000307962,35134806,665.7,33,689.1,27,648.1,34,654.9,21
150000313125,35134806,672.9,31,628.2,20,617.5,29,660.8,19
150000315384,35134806,731.5,39,675.1,29,666.1,34,807.3,30
150000338298,35286187,677.1,33,561.2,14,694.7,37,633.3,16
150000337495,35286187,727.5,38,647.9,25,680.3,37,636.1,20
150000336747,35134806,616.3,24,617.2,20,567.3,22,551.6,15
150000332798,35134806,707.9,37,510.1,14,653.8,35,911.7,38
150000325546,35134806,646.3,27,713.4,33,572.3,25,845.4,35
150000323771,35134806,622.2,25,734.1,37,599,28,618,19
150000332236,35134806,644.4,27,635.8,23,674.4,36,736,24
150000340438,35286187,699.7,35,697.5,31,566.7,23,759.9,27
150000340936,35286187,622.7,25,625.1,23,657.9,34,660,18
150000344867,35286187,714.9,36,727.3,36,567.6,25,767.7,26
150000358934,35286187,685,35,691.6,30,645.3,31,861.2,35
150000352726,35134806,710.2,36,718.7,33,632.7,30,826.8,32
150000365170,35286187,668.9,31,679.5,29,654.1,34,725.3,24
150000375884,35134806,726.9,38,705,33,618.3,30,834.6,31
150000375124,35134806,706.8,36,710.4,33,639.3,32,891.7,37
150000361696,35134806,672.2,31,725.7,36,615.3,31,417.2,13
150000347070,35134806,754,40,530,14,715.5,39,703.8,21
150000367022,35134806,588.3,21,641.4,26,523.6,21,873,34
150000368164,35134806,672.3,33,767.1,37,635.2,34,771.8,28
150000368603,35286187,711.3,37,683,29,665.6,35,693,21
150000378810,35563006,658.2,28,563.7,16,592.6,29,761.7,29
150000349093,35134806,641.5,27,667,27,601.7,31,745,27
150000353710,35134806,606.8,25,646.2,23,593.5,27,696.8,21
150000387273,35134806,626.1,23,653,26,584.3,26,792.1,30
150000385986,35134806,659.6,31,672.6,27,595.7,30,806.4,28
150000383061,35286187,704,36,716.1,33,685.6,36,749.3,27
150000402694,35134806,675.4,32,688.8,28,605.4,30,659.7,16
150000395462,35134806,724.6,38,552.2,15,661.1,33,563.6,16
150000392847,35286187,667.6,32,681.8,26,614.4,31,811.2,28
150000404972,35134806,682,33,516.2,13,636.5,32,798.6,29
150000403002,35134806,622,26,728.9,38,583.4,25,932.4,38
150000403322,35134806,695.2,35,702.2,31,651.7,34,623.9,17
150000403913,35134806,711,37,775.2,39,647.9,37,684.2,20
150000376797,35134806,735.3,39,627.4,23,673.3,36,802.2,29
150000408043,35134806,695.7,34,605.5,20,626,30,827.8,32
150000397017,35134806,698.2,35,709,33,635,31,850.2,33
150000514638,35134806,703.7,36,664.1,25,648.9,33,597.7,15
150000502037,35134806,667.4,32,749.9,36,648.9,35,820.8,31
150000512940,35563006,716.8,38,560.1,15,643.8,36,679,19
150000538486,35134806,601.7,23,688.7,29,540.6,20,608.2,20
150000563018,35134806,713.9,36,617.9,19,632.3,33,742.2,25
150000530391,35134806,656.1,31,674.4,24,636.6,32,802.2,29
150000530539,35134806,672.3,29,638.7,25,588.8,27,628,19
150000456946,35286187,642.6,28,644.2,26,645.6,32,518.5,15
150000454957,35286187,712.9,38,544.6,18,709.3,38,653.9,18
150000441690,35286187,601.6,24,567.6,15,657,36,655.2,17
150000585230,35134806,638.3,28,621.9,22,591.2,25,804.5,31
150000657076,35134806,639.9,27,578,17,623.3,31,540.6,13
150000587216,35134806,650.4,29,660.8,26,582.7,25,660.6,21
150000649347,35134806,638.3,27,682.2,27,552.1,22,832.2,31
150000671846,35286187,687.2,35,596,18,628.4,32,490.5,9
