NU_INSCRICAO,CO_ESCOLA,NU_ACERTOS_CH,NU_ACERTOS_CN,NU_ACERTOS_LC,NU_ACERTOS_MT
170001664728,35134806,34,33,33,31
170001664496,35563006,25,20,25,25
170001675752,35134806,37,29,38,32
170001669938,35134806,27,16,28,28
170005047209,35563006,32,26,24,21
170003332284,35134806,33,24,36,21
170005077286,35134806,35,32,36,36
170000044085,35286187,24,17,30,23
170005062039,35134806,29,31,35,23
170005084111,35134806,30,31,30,24
170005085460,35134806,25,21,26,16
170000025541,35563006,28,24,26,13
170003424179,35134806,22,8,22,18
170001731085,35134806,29,20,27,18
170001747308,35286187,30,16,28,9
170001739812,35563006,31,18,35,22
170003437661,35286187,23,16,28,15
170003434892,35134806,16,22,33,23
170000089670,35134806,20,23,32,28
170000089674,35286187,25,28,33,26
170003445952,35134806,35,34,31,29
170005144571,35563006,29,31,29,39
170003448757,35134806,30,30,34,38
170003449117,35134806,35,26,30,19
170005152496,35134806,33,30,39,27
170003430931,35134806,22,32,28,29
170001753591,35134806,31,26,35,20
170001760522,35134806,37,17,35,20
170001766683,35563006,25,35,21,31
170000107828,35134806,33,21,28,23
170000112388,35134806,32,16,35,22
170000118622,35134806,30,19,28,26
170000120267,35134806,22,31,29,26
170000110412,35134806,34,24,33,19
170000122026,35134806,35,24,36,32
170000103536,35563006,29,21,33,25
170000103874,35134806,35,21,37,17
170000117912,35134806,22,19,30,18
170001757705,35286187,25,14,30,9
170000118284,35134806,30,14,28,15
170000116867,35134806,27,18,32,20
170001773378,35286187,25,27,31,24
170001794183,35134806,24,34,31,24
170001795862,35134806,38,21,40,19
170001797409,35134806,31,34,36,19
170001788707,35134806,31,18,30,17
170001789204,35286187,29,11,34,15
170001786242,35286187,28,22,23,17
170001797872,35286187,21,24,28,31
170001797949,35134806,27,23,30,26
170001778164,35286187,28,30,24,37
170003456578,35134806,28,36,29,28
170005165206,35286187,29,17,34,22
170000135531,35134806,38,24,33,23
170000132644,35134806,23,24,29,26
170000133894,35286187,22,23,29,32
170001823469,35134806,33,27,34,21
170001801696,35134806,23,16,34,21
170001808892,35134806,30,19,30,29
170000132260,35286187,24,28,34,26
170000139013,35563006,37,24,26,32
170005171356,35134806,22,22,31,24
170003465512,35134806,27,29,33,19
170005182958,35134806,30,12,27,29
170005171500,35134806,16,37,32,26
170003460322,35134806,30,30,22,17
170003471876,35134806,32,28,27,29
170001824692,35134806,26,14,36,12
170001802552,35134806,20,30,30,36
170005181256,35286187,33,16,26,9
170005171213,35563006,25,28,33,31
170003464372,35134806,30,28,31,26
170003453680,35563006,25,18,34,25
170003467772,35134806,26,33,32,15
170003472672,35134806,29,30,26,40
170003467442,35134806,31,23,34,19
170003482114,35134806,23,11,34,17
170000142530,35134806,17,40,31,12
170000137065,35134806,34,23,19,31
170001814858,35134806,16,27,39,21
170001803054,35134806,29,19,31,21
170003469538,35286187,29,30,36,37
170000127602,35134806,27,19,31,26
170000140510,35134806,25,29,38,25
170001804028,35134806,33,42,25,20
170001822727,35286187,30,28,33,38
170003477385,35134806,32,22,31,31
170003481661,35134806,25,21,35,15
170003497486,35134806,25,39,32,23
170003491406,35134806,37,24,27,15
170003488552,35134806,36,11,37,39
170001823317,35134806,17,22,37,31
170005176196,35134806,27,12,25,39
170005170690,35134806,25,36,24,20
170005164940,35286187,37,24,37,27
170003479957,35286187,37,37,40,25
170003479794,35134806,29,17,36,41
170005196615,35286187,27,30,30,17
170005205653,35134806,34,30,34,28
170005199137,35134806,29,18,29,30
170005195954,35134806,30,22,37,23
170005192302,35134806,28,27,28,36
170005188224,35134806,26,18,31,31
170000168074,35286187,33,34,32,16
170000169148,35286187,26,21,34,22
170000155254,35563006,30,19,33,23
170000151047,35134806,24,29,29,22
170005206639,35134806,28,22,30,31
170005183684,35134806,27,28,31,16
170005196062,35134806,27,26,35,39
170005202125,35134806,33,23,33,20
170005205188,35286187,31,35,37,24
170005201491,35286187,30,21,28,11
170005205265,35134806,31,29,32,20
170005185945,35134806,22,14,25,30
170000167673,35286187,28,28,31,31
170000170299,35134806,26,27,25,18
170000161839,35134806,28,15,36,35
170000150321,35134806,33,17,40,37
170000153658,35134806,26,36,17,22
170001830997,35134806,23,32,32,40
